am7kg,am7kg,40,74
am7kg,anl4ds,29,49
am7kg,atg2vd,-13,7
am7kg,bs5sk,19,57
am7kg,eah3t,93,43
am7kg,eaq2gf,-35,-43
am7kg,GrelenNegotiator,85,69
am7kg,jcb8nq,46,72
am7kg,jhh5fz,40,4
am7kg,jnl9nb,7,39
am7kg,mhp9dj,0,0
am7kg,sdw7ng,1,17
am7kg,sk9gn,90,18
am7kg,xvp2he,88,32
anl4ds,am7kg,8,1
anl4ds,anl4ds,-20,-22
anl4ds,atg2vd,-11,-12
anl4ds,bs5sk,96,69
anl4ds,eah3t,67,44
anl4ds,eaq2gf,-35,-42
anl4ds,GrelenNegotiator,98,55
anl4ds,jcb8nq,38,33
anl4ds,jhh5fz,-8,-13
anl4ds,jnl9nb,-7,-15
anl4ds,mhp9dj,10,10
anl4ds,sdw7ng,-5,-13
anl4ds,sk9gn,90,55
anl4ds,xvp2he,96,47
atg2vd,am7kg,-20,-28
atg2vd,anl4ds,54,78
atg2vd,atg2vd,85,13
atg2vd,bs5sk,49,85
atg2vd,eah3t,100,40
atg2vd,eaq2gf,-35,-43
atg2vd,GrelenNegotiator,100,60
atg2vd,jcb8nq,53,81
atg2vd,jhh5fz,49,85
atg2vd,jnl9nb,49,85
atg2vd,mhp9dj,0,0
atg2vd,sdw7ng,49,85
atg2vd,sk9gn,100,20
atg2vd,xvp2he,100,20
bs5sk,am7kg,72,34
bs5sk,anl4ds,63,87
bs5sk,atg2vd,92,52
bs5sk,bs5sk,60,100
bs5sk,eah3t,100,40
bs5sk,eaq2gf,-13,-9
bs5sk,GrelenNegotiator,92,60
bs5sk,jcb8nq,61,95
bs5sk,jhh5fz,88,52
bs5sk,jnl9nb,60,100
bs5sk,mhp9dj,60,100
bs5sk,sdw7ng,55,85
bs5sk,sk9gn,96,36
bs5sk,xvp2he,88,48
eah3t,am7kg,61,35
eah3t,anl4ds,65,91
eah3t,atg2vd,92,36
eah3t,bs5sk,60,100
eah3t,eah3t,100,40
eah3t,eaq2gf,-13,-13
eah3t,GrelenNegotiator,92,68
eah3t,jcb8nq,60,92
eah3t,jhh5fz,60,100
eah3t,jnl9nb,62,94
eah3t,mhp9dj,60,100
eah3t,sdw7ng,63,89
eah3t,sk9gn,96,28
eah3t,xvp2he,92,36
eaq2gf,am7kg,-50,-50
eaq2gf,anl4ds,-43,-35
eaq2gf,atg2vd,-5,-29
eaq2gf,bs5sk,-39,-35
eaq2gf,eah3t,-35,-39
eaq2gf,eaq2gf,-35,-39
eaq2gf,GrelenNegotiator,0,0
eaq2gf,jcb8nq,-39,-35
eaq2gf,jhh5fz,-35,-39
eaq2gf,jnl9nb,-45,-45
eaq2gf,mhp9dj,46,18
eaq2gf,sdw7ng,-35,-43
eaq2gf,sk9gn,100,20
eaq2gf,xvp2he,100,24
GrelenNegotiator,am7kg,8,4
GrelenNegotiator,anl4ds,4,10
GrelenNegotiator,atg2vd,9,7
GrelenNegotiator,bs5sk,10,6
GrelenNegotiator,eah3t,10,4
GrelenNegotiator,eaq2gf,0,0
GrelenNegotiator,GrelenNegotiator,9,7
GrelenNegotiator,jcb8nq,7,5
GrelenNegotiator,jhh5fz,10,6
GrelenNegotiator,jnl9nb,9,7
GrelenNegotiator,mhp9dj,6,10
GrelenNegotiator,sdw7ng,6,10
GrelenNegotiator,sk9gn,10,4
GrelenNegotiator,xvp2he,10,4
jcb8nq,am7kg,77,27
jcb8nq,anl4ds,-39,-37
jcb8nq,atg2vd,46,30
jcb8nq,bs5sk,64,36
jcb8nq,eah3t,97,43
jcb8nq,eaq2gf,-5,-5
jcb8nq,GrelenNegotiator,66,32
jcb8nq,jcb8nq,10,-6
jcb8nq,jhh5fz,36,-8
jcb8nq,jnl9nb,-50,-50
jcb8nq,mhp9dj,0,0
jcb8nq,sdw7ng,-50,-50
jcb8nq,sk9gn,98,24
jcb8nq,xvp2he,94,18
jhh5fz,am7kg,13,39
jhh5fz,anl4ds,20,36
jhh5fz,atg2vd,96,48
jhh5fz,bs5sk,64,96
jhh5fz,eah3t,100,40
jhh5fz,eaq2gf,-35,-43
jhh5fz,GrelenNegotiator,60,100
jhh5fz,jcb8nq,57,97
jhh5fz,jhh5fz,100,60
jhh5fz,jnl9nb,60,94
jhh5fz,mhp9dj,58,100
jhh5fz,sdw7ng,59,97
jhh5fz,sk9gn,90,18
jhh5fz,xvp2he,100,26
jnl9nb,am7kg,7,5
jnl9nb,anl4ds,0,8
jnl9nb,atg2vd,6,10
jnl9nb,bs5sk,6,10
jnl9nb,eah3t,10,4
jnl9nb,eaq2gf,0,0
jnl9nb,GrelenNegotiator,7,9
jnl9nb,jcb8nq,7,9
jnl9nb,jhh5fz,6,10
jnl9nb,jnl9nb,10,2
jnl9nb,mhp9dj,0,0
jnl9nb,sdw7ng,4,10
jnl9nb,sk9gn,10,4
jnl9nb,xvp2he,10,2
mhp9dj,am7kg,57,33
mhp9dj,anl4ds,38,92
mhp9dj,atg2vd,92,52
mhp9dj,bs5sk,38,86
mhp9dj,eah3t,100,40
mhp9dj,eaq2gf,10,4
mhp9dj,GrelenNegotiator,99,61
mhp9dj,jcb8nq,47,87
mhp9dj,jhh5fz,92,52
mhp9dj,jnl9nb,60,100
mhp9dj,mhp9dj,60,100
mhp9dj,sdw7ng,50,70
mhp9dj,sk9gn,100,22
mhp9dj,xvp2he,100,24
sdw7ng,am7kg,53,13
sdw7ng,anl4ds,-36,-38
sdw7ng,atg2vd,85,13
sdw7ng,bs5sk,-50,-50
sdw7ng,eah3t,100,40
sdw7ng,eaq2gf,-35,-43
sdw7ng,GrelenNegotiator,99,61
sdw7ng,jcb8nq,-50,-50
sdw7ng,jhh5fz,36,0
sdw7ng,jnl9nb,-39,-35
sdw7ng,mhp9dj,0,0
sdw7ng,sdw7ng,-50,-50
sdw7ng,sk9gn,100,20
sdw7ng,xvp2he,100,20
sk9gn,am7kg,0,0
sk9gn,anl4ds,0,0
sk9gn,atg2vd,0,0
sk9gn,bs5sk,0,0
sk9gn,eah3t,0,0
sk9gn,eaq2gf,0,0
sk9gn,GrelenNegotiator,0,0
sk9gn,jcb8nq,0,0
sk9gn,jhh5fz,0,0
sk9gn,jnl9nb,0,0
sk9gn,mhp9dj,0,0
sk9gn,sdw7ng,0,0
sk9gn,sk9gn,0,0
sk9gn,xvp2he,0,0
xvp2he,am7kg,7,-7
xvp2he,anl4ds,57,95
xvp2he,atg2vd,92,36
xvp2he,bs5sk,60,100
xvp2he,eah3t,94,46
xvp2he,eaq2gf,-13,-13
xvp2he,GrelenNegotiator,92,68
xvp2he,jcb8nq,63,97
xvp2he,jhh5fz,60,100
xvp2he,jnl9nb,60,100
xvp2he,mhp9dj,60,100
xvp2he,sdw7ng,64,92
xvp2he,sk9gn,96,28
xvp2he,xvp2he,92,36

